nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
22ND CENTY GROUP INC	COM	90137F103	22	12634	SH	SOLE	12634	0	0
3-D SYS CORP DEL	COM NEW	88554D205	163	15164	SH	SOLE	15164	0	0
3M CO	COM	88579Y101	130294	627076	SH	SOLE	627076	0	0
8X8 INC NEW	COM	282914100	262	12976	SH	SOLE	12976	0	0
AAON INC	COM PAR $0.004	000360206	261	5653	SH	SOLE	5653	0	0
AARONS INC	COM PAR $0.50	002535300	21069	400556	SH	SOLE	400556	0	0
ABBOTT LABS	COM	002824100	104746	1310309	SH	SOLE	1310309	0	0
ABBVIE INC	COM	00287Y109	89875	1115209	SH	SOLE	1115209	0	0
ABERCROMBIE & FITCH CO	CL A	002896207	251	9152	SH	SOLE	9152	0	0
ABIOMED INC	COM	003654100	3937	13785	SH	SOLE	13785	0	0
ABM INDS INC	COM	000957100	9958	273947	SH	SOLE	273947	0	0
ABRAXAS PETE CORP	COM	003830106	22	17285	SH	SOLE	17285	0	0
AC IMMUNE SA	SHS	H00263105	116	22915	SH	SOLE	22915	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	320	10923	SH	SOLE	10923	0	0
ACADIA PHARMACEUTICALS INC	COM	004225108	1764	65695	SH	SOLE	65695	0	0
ACADIA RLTY TR	COM SH BEN INT	004239109	808	29623	SH	SOLE	29623	0	0
ACCELERON PHARMA INC	COM	00434H108	1038	22291	SH	SOLE	22291	0	0
ACCENTURE PLC IRELAND	SHS CLASS A	G1151C101	13879	78847	SH	SOLE	78847	0	0
ACCO BRANDS CORP	COM	00081T108	95	11064	SH	SOLE	11064	0	0
ACELRX PHARMACEUTICALS INC	COM	00444T100	90	25990	SH	SOLE	25990	0	0
ACHILLION PHARMACEUTICALS IN	COM	00448Q201	183	61873	SH	SOLE	61873	0	0
ACI WORLDWIDE INC	COM	004498101	899	27342	SH	SOLE	27342	0	0
ACLARIS THERAPEUTICS INC	COM	00461U105	106	17755	SH	SOLE	17755	0	0
ACORDA THERAPEUTICS INC	COM	00484M106	294	22104	SH	SOLE	22104	0	0
ACTIVISION BLIZZARD INC	COM	00507V109	25496	559974	SH	SOLE	559974	0	0
ACTUANT CORP	CL A NEW	00508X203	211	8672	SH	SOLE	8672	0	0
ACUITY BRANDS INC	COM	00508Y102	420	3496	SH	SOLE	3496	0	0
ADAMAS PHARMACEUTICALS INC	COM	00548A106	83	11704	SH	SOLE	11704	0	0
ADAPTIMMUNE THERAPEUTICS PLC	SPONDS ADR	00653A107	117	27268	SH	SOLE	27268	0	0
ADOBE INC	COM	00724F101	105646	396436	SH	SOLE	396436	0	0
ADTALEM GLOBAL ED INC	COM	00737L103	523	11290	SH	SOLE	11290	0	0
ADURO BIOTECH INC	COM	00739L101	136	34053	SH	SOLE	34053	0	0
ADVANCE AUTO PARTS INC	COM	00751Y106	1475	8652	SH	SOLE	8652	0	0
ADVANCED DISP SVCS INC DEL	COM	00790X101	221	7881	SH	SOLE	7881	0	0
ADVANCED ENERGY INDS	COM	007973100	262	5272	SH	SOLE	5272	0	0
ADVANCED MICRO DEVICES INC	COM	007903107	20699	811084	SH	SOLE	811084	0	0
ADVERUM BIOTECHNOLOGIES INC	COM	00773U108	143	27276	SH	SOLE	27276	0	0
AECOM	COM	00766T100	410	13824	SH	SOLE	13824	0	0
AEGLEA BIOTHERAPEUTICS INC	COM	00773J103	92	11406	SH	SOLE	11406	0	0
AERIE PHARMACEUTICALS INC	COM	00771V108	917	19309	SH	SOLE	19309	0	0
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	354	9957	SH	SOLE	9957	0	0
AEROVIRONMENT INC	COM	008073108	200	2918	SH	SOLE	2918	0	0
AES CORP	COM	00130H105	3080	170375	SH	SOLE	170375	0	0
AFFILIATED MANAGERS GROUP IN	COM	008252108	1792	16730	SH	SOLE	16730	0	0
AFLAC INC	COM	001055102	85961	1719221	SH	SOLE	1719221	0	0
AGCO CORP	COM	001084102	394	5658	SH	SOLE	5658	0	0
AGENUS INC	COM NEW	00847G705	30	10031	SH	SOLE	10031	0	0
AGILENT TECHNOLOGIES INC	COM	00846U101	6976	86784	SH	SOLE	86784	0	0
AGIOS PHARMACEUTICALS INC	COM	00847X104	1475	21873	SH	SOLE	21873	0	0
AGNC INVT CORP	COM	00123Q104	2197	122029	SH	SOLE	122029	0	0
AGREE REALTY CORP	COM	008492100	328	4727	SH	SOLE	4727	0	0
AIMMUNE THERAPEUTICS INC	COM	00900T107	579	25886	SH	SOLE	25886	0	0
AIR PRODS & CHEMS INC	COM	009158106	96155	503535	SH	SOLE	503535	0	0
AK STL HLDG CORP	COM	001547108	121	44079	SH	SOLE	44079	0	0
AKAMAI TECHNOLOGIES INC	COM	00971T101	2766	38569	SH	SOLE	38569	0	0
AKCEA THERAPEUTICS INC	COM	00972L107	900	31768	SH	SOLE	31768	0	0
AKEBIA THERAPEUTICS INC	COM	00972D105	400	48846	SH	SOLE	48846	0	0
AKORN INC	COM	009728106	209	59275	SH	SOLE	59275	0	0
ALARM COM HLDGS INC	COM	011642105	287	4415	SH	SOLE	4415	0	0
ALASKA AIR GROUP INC	COM	011659109	833	14842	SH	SOLE	14842	0	0
ALBANY INTL CORP	CL A	012348108	283	3957	SH	SOLE	3957	0	0
ALBEMARLE CORP	COM	012653101	1537	18746	SH	SOLE	18746	0	0
ALCOA CORP	COM	013872106	326	11559	SH	SOLE	11559	0	0
ALDER BIOPHARMACEUTICALS INC	COM	014339105	457	33445	SH	SOLE	33445	0	0
ALEXANDER & BALDWIN INC NEW	COM	014491104	331	13030	SH	SOLE	13030	0	0
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	5514	38681	SH	SOLE	38681	0	0
ALEXION PHARMACEUTICALS INC	COM	015351109	33373	246880	SH	SOLE	246880	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	11666	63939	SH	SOLE	63939	0	0
ALIGN TECHNOLOGY INC	COM	016255101	18450	64891	SH	SOLE	64891	0	0
ALKERMES PLC	SHS	G01767105	2163	59274	SH	SOLE	59274	0	0
ALLAKOS INC	COM	01671P100	642	15850	SH	SOLE	15850	0	0
ALLEGHANY CORP DEL	COM	017175100	1864	3044	SH	SOLE	3044	0	0
ALLEGHENY TECHNOLOGIES INC	COM	01741R102	812	31759	SH	SOLE	31759	0	0
ALLEGIANT TRAVEL CO	COM	01748X102	237	1831	SH	SOLE	1831	0	0
ALLEGION PUB LTD CO	ORD SHS	G0176J109	1035	11408	SH	SOLE	11408	0	0
ALLERGAN PLC	SHS	G0177J108	7170	48972	SH	SOLE	48972	0	0
ALLETE INC	COM NEW	018522300	10460	127207	SH	SOLE	127207	0	0
