nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
2U INC	COM	90214J101	4106	57957	SH	DFND	57957	0	0
2U INC	COM	90214J101	13937	196708	SH	SOLE	180236	0	16472
2U INC	COM	90214J101	44242	624444	SH	DFND	624444	0	0
ADOBE INC	COM	00724F101	4242	15917	SH	DFND	15917	0	0
ADOBE INC	COM	00724F101	13238	49674	SH	SOLE	45581	0	4093
ADOBE INC	COM	00724F101	42015	157661	SH	DFND	157661	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	3966	21736	SH	DFND	21736	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	13426	73589	SH	SOLE	67430	0	6159
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	42297	231827	SH	DFND	231827	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	3889	22223	SH	DFND	22223	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	13239	75662	SH	SOLE	69325	0	6337
ALLIANCE DATA SYSTEMS CORP	COM	018581108	41648	238017	SH	DFND	238017	0	0
ALPHABET INC	CAP STK CL C	02079K107	3893	3318	SH	DFND	3318	0	0
ALPHABET INC	CAP STK CL C	02079K107	13204	11254	SH	SOLE	10239	0	1015
ALPHABET INC	CAP STK CL C	02079K107	41557	35419	SH	DFND	35419	0	0
AMAZON COM INC	COM	023135106	3887	2183	SH	DFND	2183	0	0
AMAZON COM INC	COM	023135106	13069	7339	SH	SOLE	6727	0	612
AMAZON COM INC	COM	023135106	38580	21665	SH	DFND	21665	0	0
CARMAX INC	COM	143130102	4443	63659	SH	DFND	63659	0	0
CARMAX INC	COM	143130102	15079	216037	SH	SOLE	197912	0	18125
CARMAX INC	COM	143130102	47377	678758	SH	DFND	678758	0	0
COMSCORE INC	COM	20564W105	2393	118178	SH	DFND	118178	0	0
COMSCORE INC	COM	20564W105	7054	348329	SH	SOLE	319939	0	28390
COMSCORE INC	COM	20564W105	24915	1230354	SH	DFND	1230354	0	0
DICKS SPORTING GOODS INC	COM	253393102	4129	112165	SH	DFND	112165	0	0
DICKS SPORTING GOODS INC	COM	253393102	13927	378339	SH	SOLE	346674	0	31665
DICKS SPORTING GOODS INC	COM	253393102	44066	1197107	SH	DFND	1197107	0	0
EXPEDIA GROUP INC	COM NEW	30212P303	3812	32036	SH	DFND	32036	0	0
EXPEDIA GROUP INC	COM NEW	30212P303	12936	108708	SH	SOLE	99605	0	9103
EXPEDIA GROUP INC	COM NEW	30212P303	41405	347944	SH	DFND	347944	0	0
FACEBOOK INC	CL A	30303M102	3897	23377	SH	DFND	23377	0	0
FACEBOOK INC	CL A	30303M102	13273	79627	SH	SOLE	72973	0	6654
FACEBOOK INC	CL A	30303M102	38542	231219	SH	DFND	231219	0	0
GLOBALSTAR INC	COM	378973408	794	1846877	SH	DFND	1846877	0	0
GLOBALSTAR INC	COM	378973408	1792	4166418	SH	SOLE	3838145	0	328273
GLOBALSTAR INC	COM	378973408	7788	18112153	SH	DFND	18112153	0	0
IMAX CORP	COM	45245E109	1019	44927	SH	DFND	44927	0	0
IMAX CORP	COM	45245E109	503	22165	SH	SOLE	22165	0	0
IMAX CORP	COM	45245E109	6464	285021	SH	DFND	285021	0	0
JD COM INC	SPON ADR CL A	47215P106	3513	116532	SH	DFND	116532	0	0
JD COM INC	SPON ADR CL A	47215P106	1788	59320	SH	SOLE	59320	0	0
JD COM INC	SPON ADR CL A	47215P106	23065	765011	SH	DFND	765011	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	2833	145630	SH	DFND	145630	0	0
