nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
AARONS INC	COM PAR $0.50	002535300	1090	20731	SH	SOLE	20731	0	0
ADOBE INC	COM	00724F101	14951	56105	SH	SOLE	56105	0	0
AES CORP	COM	00130H105	1093	60459	SH	SOLE	60459	0	0
AFLAC INC	COM	001055102	1097	21939	SH	SOLE	21939	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	35680	195558	SH	SOLE	195558	0	0
ALLERGAN PLC	SHS	G0177J108	56	380	SH	SOLE	380	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	3340	19089	SH	SOLE	19089	0	0
ALLISON TRANSMISSION HLDGS I	COM	01973R101	1095	24372	SH	SOLE	24372	0	0
ALPHABET INC	CAP STK CL A	02079K305	76	65	SH	SOLE	65	0	0
ALPHABET INC	CAP STK CL C	02079K107	17088	14564	SH	SOLE	14564	0	0
ALTABA INC	COM	021346101	21195	285955	SH	SOLE	285955	0	0
ALTICE USA INC	CL A	02156K103	1318	61340	SH	SOLE	61340	0	0
AMARIN CORP PLC	SPONS ADR NEW	023111206	1558	75038	SH	SOLE	75038	0	0
AMAZON COM INC	COM	023135106	36057	20248	SH	SOLE	20248	0	0
AMBEV SA	SPONSORED ADR	02319V103	28	6600	SH	SOLE	6600	0	0
AMERICAN EQTY INVT LIFE HLD	COM	025676206	1092	40428	SH	SOLE	40428	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	73	1700	SH	SOLE	1700	0	0
ANTHEM INC	COM	036752103	1096	3818	SH	SOLE	3818	0	0
AON PLC	SHS CL A	G0408V102	1980	11598	SH	SOLE	11598	0	0
APPLE INC	COM	037833100	18165	95633	SH	SOLE	95633	0	0
ASSURED GUARANTY LTD	COM	G0585R106	1094	24624	SH	SOLE	24624	0	0
ATHENE HLDG LTD	CL A	G0684D107	1219	29875	SH	SOLE	29875	0	0
ATLANTICA YIELD PLC	SHS	G0751N103	1772	91061	SH	SOLE	91061	0	0
AUTOZONE INC	COM	053332102	1097	1071	SH	SOLE	1071	0	0
AVALARA INC	COM	05338G106	40	717	SH	SOLE	717	0	0
AVANOS MED INC	COM	05350V106	2	56	SH	SOLE	56	0	0
AVNET INC	COM	053807103	1094	25221	SH	SOLE	25221	0	0
BAIDU INC	SPON ADR REP A	056752108	14832	89971	SH	SOLE	89971	0	0
BALL CORP	COM	058498106	1402	24237	SH	SOLE	24237	0	0
BANK AMER CORP	COM	060505104	1101	39901	SH	SOLE	39901	0	0
BANK NEW YORK MELLON CORP	COM	064058100	1095	21706	SH	SOLE	21706	0	0
