nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
180 DEGREE CAP CORP 	COM	68235B109	67	36100	SH	DFND	36100	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	2695	339367	SH	DFND	339367	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	596	75000	SH	DFND	75000	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	3942	496500	SH	DFND	496500	0	0
2U INC 	COM	90214J101	1134	16000	SH	DFND	16000	0	0
2U INC 	COM	90214J101	2848	40200	SH	DFND	40200	0	0
3-D SYS CORP DEL 	COM NEW	88554D205	375	34844	SH	DFND	34844	0	0
3-D SYS CORP DEL 	COM NEW	88554D205	43	4000	SH	DFND	4000	0	0
3-D SYS CORP DEL 	COM NEW	88554D205	294	27300	SH	DFND	27300	0	0
51JOB INC	SP ADR REP COM	316827104	92	1180	SH	DFND	1180	0	0
51JOB INC	SP ADR REP COM	316827104	405	5200	SH	DFND	5200	0	0
58 COM INC	SPON ADR REP A	31680Q104	66	1010	SH	DFND	1010	0	0
58 COM INC	SPON ADR REP A	31680Q104	893	13600	SH	DFND	13600	0	0
58 COM INC	SPON ADR REP A	31680Q104	328	5000	SH	DFND	5000	0	0
A10 NETWORKS INC	COM	002121101	1143	161272	SH	DFND	161272	0	0
A10 NETWORKS INC	COM	002121101	1838	259300	SH	DFND	259300	0	0
AAON INC 	COM PAR $0.004	000360206	444	9623	SH	DFND	9623	0	0
AAR CORP	COM	000361105	593	18228	SH	DFND	18228	0	0
AAR CORP	COM	000361105	1912	58800	SH	DFND	58800	0	0
ABB LTD 	SPONSORED ADR	000375204	349	18489	SH	DFND	18489	0	0
ABB LTD 	SPONSORED ADR	000375204	377	20000	SH	DFND	20000	0	0
ABB LTD 	SPONSORED ADR	000375204	955	50600	SH	DFND	50600	0	0
ABBOTT LABS 	COM	002824100	4884	61100	SH	DFND	61100	0	0
ABBVIE INC 	COM	00287Y109	2666	33082	SH	DFND	33082	0	0
ABBVIE INC 	COM	00287Y109	97	1200	SH	DFND	1200	0	0
ABBVIE INC 	COM	00287Y109	6052	75100	SH	DFND	75100	0	0
ABERCROMBIE & FITCH CO 	CL A	002896207	876	31950	SH	DFND	31950	0	0
ABERCROMBIE & FITCH CO 	CL A	002896207	49	1800	SH	DFND	1800	0	0
ABERCROMBIE & FITCH CO 	CL A	002896207	44	1600	SH	DFND	1600	0	0
ABIOMED INC 	COM	003654100	7289	25521	SH	DFND	25521	0	0
ABIOMED INC 	COM	003654100	2428	8500	SH	DFND	8500	0	0
ABIOMED INC 	COM	003654100	19363	67800	SH	DFND	67800	0	0
ABM INDS INC	COM	000957100	374	10300	SH	DFND	10300	0	0
ABM INDS INC	COM	000957100	7	200	SH	DFND	200	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	1464	25521	SH	DFND	25521	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	717	12500	SH	DFND	12500	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	9027	157400	SH	DFND	157400	0	0
ACCENTURE PLC IRELAND 	SHS CLASS A	G1151C101	10579	60100	SH	DFND	60100	0	0
ACCENTURE PLC IRELAND 	SHS CLASS A	G1151C101	1179	6700	SH	DFND	6700	0	0
ACI WORLDWIDE INC 	COM	004498101	3425	104200	SH	DFND	104200	0	0
ACI WORLDWIDE INC 	COM	004498101	1811	55100	SH	DFND	55100	0	0
ACTIVISION BLIZZARD INC 	COM	00507V109	12250	269064	SH	DFND	269064	0	0
ACTIVISION BLIZZARD INC 	COM	00507V109	9038	198500	SH	DFND	198500	0	0
ACTIVISION BLIZZARD INC 	COM	00507V109	12894	283200	SH	DFND	283200	0	0
ACUITY BRANDS INC	COM	00508Y102	1598	13318	SH	DFND	13318	0	0
ACUITY BRANDS INC	COM	00508Y102	1044	8700	SH	DFND	8700	0	0
ACUITY BRANDS INC	COM	00508Y102	17701	147500	SH	DFND	147500	0	0
ADIENT PLC 	ORD SHS	G0084W101	438	33805	SH	DFND	33805	0	0
ADIENT PLC 	ORD SHS	G0084W101	279	21500	SH	DFND	21500	0	0
ADOBE INC	COM	00724F101	14282	53594	SH	DFND	53594	0	0
ADOBE INC	COM	00724F101	39201	147100	SH	DFND	147100	0	0
ADOBE INC	COM	00724F101	100147	375800	SH	DFND	375800	0	0
ADT INC 	COM	00090Q103	468	73170	SH	DFND	73170	0	0
ADT INC 	COM	00090Q103	2556	400000	SH	DFND	400000	0	0
ADTALEM GLOBAL ED INC	COM	00737L103	16	343	SH	DFND	343	0	0
ADTALEM GLOBAL ED INC	COM	00737L103	283	6100	SH	DFND	6100	0	0
ADVANCE AUTO PARTS INC 	COM	00751Y106	4815	28236	SH	DFND	28236	0	0
ADVANCE AUTO PARTS INC 	COM	00751Y106	1705	10000	SH	DFND	10000	0	0
ADVANCED ENERGY INDS 	COM	007973100	184	3701	SH	DFND	3701	0	0
ADVANCED ENERGY INDS 	COM	007973100	1227	24700	SH	DFND	24700	0	0
ADVANCED ENERGY INDS 	COM	007973100	1788	36000	SH	DFND	36000	0	0
ADVANCED MICRO DEVICES INC 	COM	007903107	48827	1913300	SH	DFND	1913300	0	0
ADVANCED MICRO DEVICES INC 	COM	007903107	45295	1774900	SH	DFND	1774900	0	0
ADVANSIX INC 	COM	00773T101	114	4000	SH	DFND	4000	0	0
ADVANSIX INC 	COM	00773T101	271	9500	SH	DFND	9500	0	0
AECOM 	COM	00766T100	51	1714	SH	DFND	1714	0	0
AECOM 	COM	00766T100	765	25800	SH	DFND	25800	0	0
AECOM 	COM	00766T100	593	20000	SH	DFND	20000	0	0
AEGON N V	NY REGISTRY SH	007924103	1835	383100	SH	DFND	383100	0	0
AERCAP HOLDINGS NV 	SHS	N00985106	4086	87800	SH	DFND	87800	0	0
AERCAP HOLDINGS NV 	SHS	N00985106	17811	382700	SH	DFND	382700	0	0
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	377	10600	SH	DFND	10600	0	0
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	4	100	SH	DFND	100	0	0
AEROVIRONMENT INC 	COM	008073108	1847	27000	SH	DFND	27000	0	0
AES CORP	COM	00130H105	4918	272000	SH	DFND	272000	0	0
AES CORP	COM	00130H105	325	18000	SH	DFND	18000	0	0
AFLAC INC 	COM	001055102	1749	34989	SH	DFND	34989	0	0
AFLAC INC 	COM	001055102	1250	25000	SH	DFND	25000	0	0
AG MTG INVT TR INC 	COM	001228105	65	3835	SH	DFND	3835	0	0
AG MTG INVT TR INC 	COM	001228105	71	4200	SH	DFND	4200	0	0
AG MTG INVT TR INC 	COM	001228105	288	17100	SH	DFND	17100	0	0
AGCO CORP 	COM	001084102	476	6840	SH	DFND	6840	0	0
AGCO CORP 	COM	001084102	111	1600	SH	DFND	1600	0	0
AGILYSYS INC 	COM	00847J105	1237	58420	SH	DFND	58420	0	0
AGNC INVT CORP 	COM	00123Q104	1382	76800	SH	DFND	76800	0	0
AGNICO EAGLE MINES LTD 	COM	008474108	3029	69627	SH	DFND	69627	0	0
AGNICO EAGLE MINES LTD 	COM	008474108	1514	34800	SH	DFND	34800	0	0
AGNICO EAGLE MINES LTD 	COM	008474108	11719	269400	SH	DFND	269400	0	0
AIR LEASE CORP 	CL A	00912X302	3629	105643	SH	DFND	105643	0	0
AIR LEASE CORP 	CL A	00912X302	701	20400	SH	DFND	20400	0	0
AIR LEASE CORP 	CL A	00912X302	6702	195100	SH	DFND	195100	0	0
AIRCASTLE LTD 	COM	G0129K104	251	12398	SH	DFND	12398	0	0
AIRCASTLE LTD 	COM	G0129K104	73	3600	SH	DFND	3600	0	0
AIRCASTLE LTD 	COM	G0129K104	729	36000	SH	DFND	36000	0	0
AK STL HLDG CORP 	COM	001547108	1034	376100	SH	DFND	376100	0	0
AKAMAI TECHNOLOGIES INC 	COM	00971T101	817	11400	SH	DFND	11400	0	0
ALARM COM HLDGS INC 	COM	011642105	2924	45050	SH	DFND	45050	0	0
ALARM COM HLDGS INC 	COM	011642105	305	4700	SH	DFND	4700	0	0
ALASKA AIR GROUP INC 	COM	011659109	8885	158326	SH	DFND	158326	0	0
ALASKA AIR GROUP INC 	COM	011659109	3541	63100	SH	DFND	63100	0	0
ALASKA AIR GROUP INC 	COM	011659109	16376	291800	SH	DFND	291800	0	0
